LapID,SessionID,DriverID,Sector1Time,Sector2Time,Sector3Time,FastestLapTime,LapTime,TyreCompound,LapNumber,LapTimeSeconds
0,4,14,,0 days 00:00:25.495000,0 days 00:00:37.955000,0,0 days 00:01:45.060000,nan,1,105.06
1,4,14,0 days 00:00:31.357000,0 days 00:00:24.825000,0 days 00:00:37.190000,0,0 days 00:01:33.372000,ULTRASOFT,2,93.372
2,4,14,0 days 00:00:31.160000,0 days 00:00:24.725000,0 days 00:00:36.976000,0,0 days 00:01:32.861000,ULTRASOFT,3,92.861
3,4,14,0 days 00:00:30.835000,0 days 00:00:24.730000,0 days 00:00:36.619000,0,0 days 00:01:32.184000,ULTRASOFT,4,92.184
4,4,14,0 days 00:00:30.716000,0 days 00:00:24.821000,0 days 00:00:36.795000,0,0 days 00:01:32.332000,ULTRASOFT,5,92.332
5,4,14,0 days 00:00:30.866000,0 days 00:00:24.601000,0 days 00:00:42.713000,0,0 days 00:01:38.180000,ULTRASOFT,6,98.18
6,4,14,0 days 00:00:30.529000,0 days 00:00:24.583000,0 days 00:00:36.425000,0,0 days 00:01:31.537000,ULTRASOFT,7,91.537
7,4,14,0 days 00:00:30.438000,0 days 00:00:24.594000,0 days 00:00:36.287000,0,0 days 00:01:31.319000,ULTRASOFT,8,91.319
8,4,14,0 days 00:00:30.515000,0 days 00:00:24.328000,0 days 00:00:36.298000,0,0 days 00:01:31.141000,ULTRASOFT,9,91.141
9,4,14,0 days 00:00:30.548000,0 days 00:00:24.305000,0 days 00:00:36.283000,0,0 days 00:01:31.136000,ULTRASOFT,10,91.136
10,4,14,0 days 00:00:30.388000,0 days 00:00:24.284000,0 days 00:00:36.265000,0,0 days 00:01:30.937000,ULTRASOFT,11,90.937
11,4,14,0 days 00:00:30.167000,0 days 00:00:24.367000,0 days 00:00:36.209000,0,0 days 00:01:30.743000,ULTRASOFT,12,90.743
12,4,14,0 days 00:00:30.141000,0 days 00:00:24.245000,0 days 00:00:36.263000,1,0 days 00:01:30.649000,ULTRASOFT,13,90.649
13,4,14,0 days 00:00:30.247000,0 days 00:00:24.226000,,0,,ULTRASOFT,14,NULL
14,4,7,,0 days 00:00:24.934000,0 days 00:00:37.810000,0,0 days 00:01:42.341000,nan,1,102.341
15,4,7,0 days 00:00:31.283000,0 days 00:00:24.566000,0 days 00:00:37.047000,0,0 days 00:01:32.896000,ULTRASOFT,2,92.896
16,4,7,0 days 00:00:30.911000,0 days 00:00:24.442000,0 days 00:00:36.651000,0,0 days 00:01:32.004000,ULTRASOFT,3,92.004
17,4,7,0 days 00:00:30.489000,0 days 00:00:24.420000,0 days 00:00:36.463000,0,0 days 00:01:31.372000,ULTRASOFT,4,91.372
18,4,7,0 days 00:00:30.373000,0 days 00:00:24.324000,0 days 00:00:36.463000,0,0 days 00:01:31.160000,ULTRASOFT,5,91.16
19,4,7,0 days 00:00:30.626000,0 days 00:00:24.310000,0 days 00:00:36.622000,0,0 days 00:01:31.558000,ULTRASOFT,6,91.558
20,4,7,0 days 00:00:30.627000,0 days 00:00:24.431000,0 days 00:00:36.780000,0,0 days 00:01:31.838000,ULTRASOFT,7,91.838
21,4,7,0 days 00:00:30.448000,0 days 00:00:24.260000,0 days 00:00:36.214000,0,0 days 00:01:30.922000,ULTRASOFT,8,90.922
22,4,7,0 days 00:00:30.266000,0 days 00:00:24.397000,0 days 00:00:36.196000,0,0 days 00:01:30.859000,ULTRASOFT,9,90.859
23,4,7,0 days 00:00:30.382000,0 days 00:00:24.312000,0 days 00:00:36.228000,0,0 days 00:01:30.922000,ULTRASOFT,10,90.922
24,4,7,0 days 00:00:30.029000,0 days 00:00:24.097000,0 days 00:00:36.293000,0,0 days 00:01:30.419000,ULTRASOFT,11,90.419
25,4,7,0 days 00:00:30.317000,0 days 00:00:24.274000,0 days 00:00:36.285000,0,0 days 00:01:30.876000,ULTRASOFT,12,90.876
26,4,7,0 days 00:00:30.105000,0 days 00:00:24.208000,0 days 00:00:36.247000,0,0 days 00:01:30.560000,ULTRASOFT,13,90.56
27,4,7,0 days 00:00:30.262000,0 days 00:00:24.081000,0 days 00:00:36.210000,0,0 days 00:01:30.553000,ULTRASOFT,14,90.553
28,4,7,0 days 00:00:30.162000,0 days 00:00:24.203000,0 days 00:00:36.146000,0,0 days 00:01:30.511000,ULTRASOFT,15,90.511
29,4,7,0 days 00:00:30.191000,0 days 00:00:24.012000,0 days 00:00:36.209000,0,0 days 00:01:30.412000,ULTRASOFT,16,90.412
30,4,7,0 days 00:00:30.333000,0 days 00:00:24.042000,0 days 00:00:36.005000,0,0 days 00:01:30.380000,ULTRASOFT,17,90.38
31,4,7,0 days 00:00:30.029000,0 days 00:00:24.273000,0 days 00:00:35.978000,0,0 days 00:01:30.280000,ULTRASOFT,18,90.28
32,4,7,0 days 00:00:30.335000,0 days 00:00:24.228000,0 days 00:00:36.090000,0,0 days 00:01:30.653000,ULTRASOFT,19,90.653
33,4,7,0 days 00:00:30.141000,0 days 00:00:24.140000,0 days 00:00:36.063000,0,0 days 00:01:30.344000,ULTRASOFT,20,90.344
34,4,7,0 days 00:00:30.288000,0 days 00:00:24.137000,0 days 00:00:36.240000,0,0 days 00:01:30.665000,ULTRASOFT,21,90.665
35,4,7,0 days 00:00:30.525000,0 days 00:00:24.406000,0 days 00:00:36.323000,0,0 days 00:01:31.254000,ULTRASOFT,22,91.254
36,4,7,0 days 00:00:30.104000,0 days 00:00:24.188000,0 days 00:00:35.949000,0,0 days 00:01:30.241000,ULTRASOFT,23,90.241
37,4,7,0 days 00:00:30.198000,0 days 00:00:24.283000,0 days 00:00:54.394000,0,0 days 00:01:48.875000,ULTRASOFT,24,108.875
38,4,7,0 days 00:00:35.459000,0 days 00:00:23.589000,0 days 00:00:51.349000,0,0 days 00:01:50.397000,SOFT,25,110.397
39,4,7,0 days 00:00:41.792000,0 days 00:00:32.622000,0 days 00:00:49.245000,0,0 days 00:02:03.659000,SOFT,26,123.659
